First Round,Second Round,Sweet 16,Elite 8,Final 4,Final,Wins Tournament
,KXMARMAD-25R64G19-LIB,KXMARMAD-25R32G10-LIB,KXMARMAD-25R16G5-MSST,KXMARMAD-25R8G3-BYU,KXMARMAD-25R4G2-DUKE,KXMARMAD-25-AU
,KXMARMAD-25R64G18-MSST,KXMARMAD-25R32G9-MSST,KXMARMAD-25R16G5-MSM,KXMARMAD-25R8G3-ARIZ,KXMARMAD-25R4G2-CLEM,
,KXMARMAD-25R64G18-BAY,KXMARMAD-25R32G9-DUKE,KXMARMAD-25R16G5-LIB,KXMARMAD-25R8G3-AMER,KXMARMAD-25R4G2-BYU,
,KXMARMAD-25R64G17-MSM,KXMARMAD-25R32G9-BAY,KXMARMAD-25R16G5-DUKE,KXMARMAD-25R8G3-ALA,KXMARMAD-25R4G2-ARIZ,
,KXMARMAD-25R64G17-DUKE,KXMARMAD-25R32G9-AMER,KXMARMAD-25R16G5-ARIZ,KXMARMAD-25R8G3-AKR,KXMARMAD-25R4G2-AKR,
,KXMARMAD-25R64G17-AMER,KXMARMAD-25R32G9-MSM,KXMARMAD-25R16G5-AMER,KXMARMAD-25R8G3-MSM,KXMARMAD-25R4G2-RMU,
,KXMARMAD-25R64G16-SJU,KXMARMAD-25R32G8-SJU,KXMARMAD-25R16G4-UNCW,KXMARMAD-25R8G2-SJU,KXMARMAD-25R4G1-GC,
,KXMARMAD-25R64G16-NEOM,KXMARMAD-25R32G8-NEOM,KXMARMAD-25R16G4-SJU,KXMARMAD-25R8G2-OKLA,KXMARMAD-25R4G1-UNM,
,KXMARMAD-25R64G15-KU,KXMARMAD-25R32G8-KU,KXMARMAD-25R16G4-NEOM,KXMARMAD-25R8G2-MEM,KXMARMAD-25R4G1-UNC,
,KXMARMAD-25R64G15-ARK,KXMARMAD-25R32G8-ARK,KXMARMAD-25R16G4-MIZZ,KXMARMAD-25R8G2-GC,KXMARMAD-25R4G1-TXAM,
,KXMARMAD-25R64G14-UNCW,KXMARMAD-25R32G7-UNCW,KXMARMAD-25R16G4-KU,KXMARMAD-25R8G2-ARK,KXMARMAD-25R4G1-SJU,
,KXMARMAD-25R64G14-TTU,KXMARMAD-25R32G7-TTU,KXMARMAD-25R16G4-DRKE,KXMARMAD-25R8G2-UNCW,KXMARMAD-25R4G1-SDSU,
,KXMARMAD-25R64G13-MIZZ,KXMARMAD-25R32G7-MIZZ,KXMARMAD-25R16G4-ARK,KXMARMAD-25R8G2-TTU,KXMARMAD-25R4G1-OKLA,
,KXMARMAD-25R64G13-DRKE,KXMARMAD-25R32G7-DRKE,KXMARMAD-25R16G4-TTU,KXMARMAD-25R8G2-NORF,KXMARMAD-25R4G1-MSU,
,KXMARMAD-25R64G12-MD,KXMARMAD-25R32G6-MEM,KXMARMAD-25R16G3-OKLA,KXMARMAD-25R8G2-NEOM,KXMARMAD-25R4G1-MIZZ,
,KXMARMAD-25R64G12-GC,KXMARMAD-25R32G6-MD,KXMARMAD-25R16G3-NORF,KXMARMAD-25R8G2-MIZZ,KXMARMAD-25R4G1-MISS,
,KXMARMAD-25R64G11-MEM,KXMARMAD-25R32G6-CSU,KXMARMAD-25R16G3-MEM,KXMARMAD-25R8G2-MD,KXMARMAD-25R4G1-MICH,
,KXMARMAD-25R64G11-CSU,KXMARMAD-25R32G6-GC,KXMARMAD-25R16G3-GC,KXMARMAD-25R8G2-KU,KXMARMAD-25R4G1-MEM,
,KXMARMAD-25R64G10-OKLA,KXMARMAD-25R32G5-NORF,KXMARMAD-25R16G3-FLA,KXMARMAD-25R8G2-FLA,KXMARMAD-25R4G1-LIP,
,KXMARMAD-25R64G10-CONN,KXMARMAD-25R32G5-FLA,KXMARMAD-25R16G3-CSU,KXMARMAD-25R8G2-DRKE,KXMARMAD-25R4G1-KU,
,KXMARMAD-25R64G9-NORF,KXMARMAD-25R32G5-CONN,KXMARMAD-25R16G3-CONN,KXMARMAD-25R8G2-CSU,KXMARMAD-25R4G1-ISU,
,KXMARMAD-25R64G9-FLA,KXMARMAD-25R32G5-OKLA,KXMARMAD-25R16G3-MD,KXMARMAD-25R8G2-CONN,KXMARMAD-25R4G1-CSU,
,KXMARMAD-25R64G8-MSU,KXMARMAD-25R32G4-UNM,KXMARMAD-25R16G2-SDSU,KXMARMAD-25R8G1-SDSU,KXMARMAD-25R4G1-BRY,
,KXMARMAD-25R64G8-BRY,KXMARMAD-25R32G4-MSU,KXMARMAD-25R16G2-MISS,KXMARMAD-25R8G1-ISU,KXMARMAD-25R4G1-ARK,
,KXMARMAD-25R64G7-UNM,KXMARMAD-25R32G4-MARQ,KXMARMAD-25R16G2-ISU,KXMARMAD-25R8G1-YALE,KXMARMAD-25R4G1-YALE,
,KXMARMAD-25R64G7-MARQ,KXMARMAD-25R32G4-BRY,KXMARMAD-25R16G2-BRY,KXMARMAD-25R8G1-UNM,KXMARMAD-25R4G1-UNCW,
,KXMARMAD-25R64G6-LIP,KXMARMAD-25R32G3-UNC,KXMARMAD-25R16G2-UNM,KXMARMAD-25R8G1-UNC,KXMARMAD-25R4G1-UCSD,
,KXMARMAD-25R64G6-ISU,KXMARMAD-25R32G3-SDSU,KXMARMAD-25R16G2-UNC,KXMARMAD-25R8G1-TXAM,KXMARMAD-25R4G1-SFPA,
,KXMARMAD-25R64G5-UNC,KXMARMAD-25R32G3-MISS,KXMARMAD-25R16G2-MSU,KXMARMAD-25R8G1-SFPA,KXMARMAD-25R4G1-NORF,
,KXMARMAD-25R64G5-SDSU,KXMARMAD-25R32G3-LIP,KXMARMAD-25R16G2-MARQ,KXMARMAD-25R8G1-MSU,KXMARMAD-25R4G1-NEOM,
,KXMARMAD-25R64G5-MISS,KXMARMAD-25R32G3-ISU,KXMARMAD-25R16G2-LIP,KXMARMAD-25R8G1-MISS,KXMARMAD-25R4G1-MD,
,KXMARMAD-25R64G4-YALE,KXMARMAD-25R32G2-YALE,KXMARMAD-25R16G1-YALE,KXMARMAD-25R8G1-MICH,KXMARMAD-25R4G1-MARQ,
,KXMARMAD-25R64G4-TXAM,KXMARMAD-25R32G2-UCSD,KXMARMAD-25R16G1-SFPA,KXMARMAD-25R8G1-MARQ,KXMARMAD-25R4G1-LOU,
,KXMARMAD-25R64G3-MICH,KXMARMAD-25R32G2-TXAM,KXMARMAD-25R16G1-LOU,KXMARMAD-25R8G1-LOU,KXMARMAD-25R4G1-FLA,
,KXMARMAD-25R64G3-UCSD,KXMARMAD-25R32G2-MICH,KXMARMAD-25R16G1-AUB,KXMARMAD-25R8G1-LIP,KXMARMAD-25R4G1-DRKE,
,KXMARMAD-25R64G2-CREI,KXMARMAD-25R32G1-LOU,KXMARMAD-25R16G1-UCSD,KXMARMAD-25R8G1-CREI,KXMARMAD-25R4G1-CREI,
,KXMARMAD-25R64G2-LOU,KXMARMAD-25R32G1-CREI,KXMARMAD-25R16G1-TXAM,KXMARMAD-25R8G1-BRY,KXMARMAD-25R4G1-CONN,
,KXMARMAD-25R64G1-SFPA,KXMARMAD-25R32G1-ALST,KXMARMAD-25R16G1-MICH,KXMARMAD-25R8G1-AUB,KXMARMAD-25R4G1-AUB,
,KXMARMAD-25R64G1-AUB,KXMARMAD-25R32G1-SFPA,KXMARMAD-25R16G1-CREI,KXMARMAD-25R8G1-ALST,KXMARMAD-25R4G1-ALST,
,KXMARMAD-25R64G1-ALST,KXMARMAD-25R32G1-AUB,KXMARMAD-25R16G1-ALST,KXMARMAD-25R8G1-UCSD,KXMARMAD-25R4G1-TTU,
